;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
3491;1526;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3492;1526;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3493;1527;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3494;1527;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
3495;1527;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3496;1527;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3497;1527;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances;;
3498;1528;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3499;1528;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3500;1528;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3501;1528;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3502;1528;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3503;1528;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé, Economie et finances;;
3504;1529;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3505;1529;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3506;1529;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3507;1529;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3508;1529;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3509;1531;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3510;1531;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3511;1531;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3512;1531;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Economie et finances;;
3513;1532;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3514;1532;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3515;1533;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3516;1533;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3517;1533;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3518;1533;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Education nationale, enseignement supérieur et recherche;;
3519;1535;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3520;1535;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3521;1536;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3522;1536;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3523;1536;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3524;1537;Membre du Gouvernement ou membre de cabinet ministériel;Travail;Ministère chargé des Transports 
3525;1537;Membre du Gouvernement ou membre de cabinet ministériel; emploi;Ministère chargé des Transports 
3526;1537;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;Ministère chargé des Transports 
3527;1537;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère chargé des Transports 
3528;1537;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Autres : à préciser;;Ministère chargé des Transports 
3529;1538;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3530;1538;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3531;1539;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3532;1539;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3533;1539;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Affaires étrangères et développement international;;
3534;1540;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3535;1540;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3536;1540;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3537;1540;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
3538;1541;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;ministère des Transports
3539;1541;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;ministère des Transports
3540;1541;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Autres : à préciser;;ministère des Transports
3541;1542;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;Secrétariat d'Etat chargé du Numérique
3542;1542;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Secrétariat d'Etat chargé du Numérique
3543;1542;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Secrétariat d'Etat chargé du Numérique
3544;1542;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Economie et finances, Autres : à préciser;;Secrétariat d'Etat chargé du Numérique
3545;1543;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3546;1543;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
3547;1543;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3548;1543;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement, Economie et finances;;
3549;1545;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3550;1545;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3551;1545;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3552;1545;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Education nationale, enseignement supérieur et recherche;;
3553;1546;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3554;1546;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3555;1546;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
3556;1547;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3557;1547;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3558;1547;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3559;1547;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3560;1547;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3561;1547;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3562;1547;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances, Environnement, énergie et mer;;
3563;1548;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3564;1548;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3565;1548;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3566;1548;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3567;1549;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3568;1549;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3569;1549;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3570;1550;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;Secrétariat d'Etat chargé du Numérique, ministère de l'Action et des Comptes publics
3571;1550;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;Secrétariat d'Etat chargé du Numérique, ministère de l'Action et des Comptes publics
3572;1550;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;Secrétariat d'Etat chargé du Numérique, ministère de l'Action et des Comptes publics
3573;1550;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Secrétariat d'Etat chargé du Numérique, ministère de l'Action et des Comptes publics
3574;1550;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer, Autres : à préciser;;Secrétariat d'Etat chargé du Numérique, ministère de l'Action et des Comptes publics
3575;1552;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3576;1552;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3577;1552;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3578;1552;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
3579;1553;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3580;1553;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3581;1554;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3582;1554;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3583;1554;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3584;1554;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3585;1554;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3586;1555;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3587;1555;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3588;1555;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
3589;1556;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3590;1556;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3591;1560;Membre du Gouvernement ou membre de cabinet ministériel;Ville;
3592;1560;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
3593;1560;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
3594;1560;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
3595;1560;Membre du Gouvernement ou membre de cabinet ministériel - Ville, jeunesse et sport, Famille, enfance et droits des femmes;;
3596;1572;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
3597;1572;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
3598;1572;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité pour la diffusion des œuvres et la protection des droits sur internet;
3599;1572;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Conseil supérieur de l'audiovisuel;
